recessione	PIL	2.0
Cesare	Giulio Cesare	4.0
paziente	sessione	2.5
comportamentismo	terapia	0.5
imperatore	costituzione	2.0
matematico	spettacolo	0.0
entropia	informazione	2.5
acqua di rose	olio di rosa	2.5
agrume	pompelmo	3.5
Regina Vittoria	Inghilterra	3.5
Giochi Olimpici	spirito	1.5
vescovo	musulmano	3.0
uomo	sospetto	1.0
meteorite	Terra	2.5
simbolo	segno	3.5
antropologia	New York	0.0
tramonto	tavolo	0.0
cittadina	città	4.0
giacca	acqua minerale	0.0
natura	flora	3.0
subroutine	compilatore	3.0
Hamadan	Roma	1.0
ombrello	stufa	0.0
onore	stima	2.0
insegna	dignità	0.0
schermo	monitor	4.0
joystick	radar	2.5
basmati	riso jasmine	3.5
medaglia	scarpe da ginnastica	0.5
legge	piscina	0.0
sorgente	scatola	0.0
teatro	batteria	3.0
flora	web browser	0.0
camicia	cardigan	3.0
poema	ritmo	2.0
profeta	prete	2.0
Oscar	stadio	1.0
backgammon	Go	3.5
farfalla	rosa	1.0
recinto	salto	1.0
nichilismo	film	0.5
asteroide	stella	3.0
sommossa	disegno	0.0
intimo	corpo	2.5
Boeing	aereo	3.5
cameo	interpretazione	2.5
mondo	Asia	3.5
arancia	agrume	3.5
ghiacciaio	riscaldamento globale	1.0
galleria	percorso	2.0