recessione,PIL,1.0
Cesare,Giulio Cesare,1.0
paziente,sessione,1.0
comportamentismo,terapia,1.0
imperatore,costituzione,1.0
matematico,spettacolo,1.0
entropia,informazione,1.0
acqua di rose,olio di rosa,1.0
agrume,pompelmo,1.0
Regina Vittoria,Inghilterra,1.0
Giochi Olimpici,spirito,1.0
vescovo,musulmano,1.0
uomo,sospetto,1.0
meteorite,Terra,1.0
simbolo,segno,1.0
antropologia,New York,1.0
tramonto,tavolo,1.0
cittadina,città,1.0
giacca,acqua minerale,1.0
natura,flora,1.0
subroutine,compilatore,1.0
Hamadan,Roma,1.0
ombrello,stufa,1.0
onore,stima,1.0
insegna,dignità,1.0
KFC,McDonalds,1.0
joystick,radar,1.0
basmati,riso jasmine,1.0
medaglia,scarpe da ginnastica,1.0
legge,piscina,1.0
sorgente,scatola,1.0
teatro,batteria,1.0
flora,web browser,1.0
camicia,cardigan,1.0
poema,ritmo,1.0
profeta,prete,1.0
Oscar,stadio,1.0
backgammon,Go,1.0
farfalla,rosa,1.0
recinto,salto,1.0
nichilismo,film,1.0
asteroide,stella,1.0
sommossa,disegno,1.0
intimo,corpo,1.0
Boeing,aereo,1.0
cameo,interpretazione,1.0
semestre,quadrimestre,1.0
arancia,agrume,1.0
ghiacciaio,riscaldamento globale,1.0
galleria,percorso,1.0