recessione	PIL	bn:00066516n	bn:00037570n	condizione macroeconomica,fattori produttivi,crescita economica	pil, P.I.L.,prodotto interno lordo
Cesare	Giulio Cesare	bn:00014550n	bn:00014550n	Gaio Giulio Cesare,Caio Giulio Cesare,imperatore 	Gaio Giulio Cesare,Caio Giulio Cesare ,imperatore
paziente	sessione	bn:00061017n	bn:00076588n	 ammalato,assistito,cliente 	fase,periodo,sessione
comportamentismo	terapia	bn:00009659n	bn:00076843n	behaviourismo,psicologia,comportamento  	guarigione,malattie,metodi
imperatore	costituzione	bn:00014550n	bn:00059480n	Gaio Giulio Cesare,Caio Giulio Cesare,imperatore	organizzazione,formazione,organizzativo
matematico	spettacolo	bn:00053834n	bn:00067553n	persona,ricerche,sperimentazioni	rivista ,Teatro di rivista,spettacolo 
entropia	informazione	bn:00031061n	bn:00046705n	casualita,azzardo,grandezza	Conoscenza,studio,dati 
acqua di rose	olio di rosa	bn:00068288n	bn:00007010n	giulebbe,bevanda,estratto di rosa 	petali,rosa,estratto 
agrume	pompelmo	bn:00019301n	bn:00019313n	frutti,piante,Rutaceae	Agrume,buccia gialla,amarognolo 
Regina Vittoria	Inghilterra	bn:00065652n	bn:00013173n	regina,Regno Unito,Imperatrice 	Gran Bretagna,Regno Unito,Irlanda del Nord 
Giochi Olimpici	spirito	bn:00058910n	bn:00040370n	olimpiade,Olimpiadi ,Manifestazione	fantasma,spettro,apparizione 
vescovo	musulmano	bn:27267995n	bn:00055975n	 responsabile,chiese,cattolicesimo 	mussulmano,islamico,maomettano
uomo	sospetto	bn:00044576n	bn:00025884n	essere umano,Homo,umano 	convenuto,accusato ,imputato 
meteorite	Terra	bn:00054602n	bn:00029424n	meteorite,Oggetto,spazio  	mondo ,globo,terrestre 
simbolo	segno	bn:00075652n	bn:00075652n	segno,significato convenzionale,elemento 	segno,significato convenzionale,elemento
antropologia	New York	bn:00004584n	bn:00041611n	Scienza,uomo,entita biologica 	Nuova York ,stato di New York,citta
tramonto	tavolo	bn:05692316n	bn:00075813n	crepuscolo,notte,illuminazione	tavola,mobilio,piano
cittadina	citta	bn:00070724n	bn:00077773n	Insediamento umano,villaggio,borgo 	citta,cittadina ,paese 
giacca	acqua minerale	bn:00047823n	bn:00055131n	cappotto,casacca,giacchetta 	minerale,bottiglia,acqua sorgiva 
natura	flora	bn:00057017n	bn:00035324n	fenomeni,forze,cose	pianta,Plantae,vegetale 
subroutine	compilatore	bn:00036826n	bn:00021344n	sottoprogramma,procedura,procedimento	Programma,linguaggio,istruzioni
Hamadan	Roma	bn:03266645n	bn:00015556n	citta,Iran,Ecbatana	Citta Eterna,Comune di Roma,impero romano 
ombrello	stufa	bn:00078920n	bn:00074479n	parapioggia,paracqua,ombrellone	fornello,fuoco,apparecchio
onore	stima	bn:00027103n	bn:00031973n	dignita,decoro,onore	valutazione,estimazione,perizia
insegna	dignita	bn:00034960n	bn:00027103n	bandiera,segnalazioni,identificazione	decoro,onore,reputazione
KFC	McDonalds	bn:01826071n	bn:01826071n	 catena,ristoranti,fast food	catena,ristoranti,fast food
joystick	radar	bn:00022301n	bn:00054808n	cloche,barra,comando	radiolocalizzatore,posizione,rilevamento
basmati	riso jasmine	bn:00567353n	bn:02666084n	riso,grano,fragranza 	riso,chicco lungo,fiori
medaglia	scarpe da ginnastica	bn:23946490n	bn:00042319n	riconoscimento,Attestazione,distinzione	sneaker,takkies,attivita sportive
legge	piscina	bn:00048655n	bn:00056911n	diritto,giurisprudenza,legislazione	vasca,piscina coperta,nuotare
sorgente	scatola	bn:00036077n	bn:00012524n	fonte,polla,scaturigine	cassetta,astuccio,cassa
teatro	batteria	bn:00045002n	bn:00028891n	Edificio,opere,spettacolo 	tamburo,Membranofoni,membranofono 
flora	web browser	bn:00035324n	bn:00013447n	pianta,Plantae,vegetale	browser,navigatore,informatica
camicia	cardigan	bn:00071142n	bn:00015958n	Indumento,cotone,maniche	golf,maglione,bottoni
poema	ritmo	bn:15205441n	bn:00009396n	poesia,versi,narrativo	tempo,pause,intervalli
profeta	prete	bn:00064759n	bn:00024459n	aedo,divinatore,vate	pastore,curato,Parroco
Oscar	stadio	bn:00000571n	bn:00005532n	Premio Oscar,Academy Award, cinema	arena,campo sportivo,palazzetto dello sport
backgammon	Go	bn:00007779n	bn:00040833n	tavola reale,sbaraglino,tric-trac	gioco da tavolo,giocatori ,Cina
farfalla	rosa	bn:00014271n	bn:00068283n	Insetto ,grandi ali ,Lepidotteri	rosaio,Fiore,pianta
recinto	salto	bn:00034048n	bn:00048558n	recinzione,barriera,cinta	movimento,salto,abilita
nichilismo	film	bn:00057710n	bn:00034471n	nihilismo,Dottrina filosofica ,societa 	spettacolo ,pellicola,opera cinematografica
asteroide	stella	bn:00006608n	bn:00073964n	planetoide,corpo celeste,pianeta terrestre	stella,sole,Corpo celeste
sommossa	disegno	bn:00047003n	bn:00028639n	ribellione,rivolta,insurrezione	figura,illustrazione ,riproduzione
intimo	corpo	bn:00079003n	bn:00011744n	biancheria intima,lingerie,indumento	organismo,tessuti,tessuti
Boeing	aereo	bn:01156257n	bn:00002275n	aereo militare,mezzo militare,spazioplano	aeromobile,velivolo,aeroplano
cameo	interpretazione	bn:02119437n	bn:00061560n	apparizione,personaggio famoso,spettacolo	performance,esecuzione,esibizione
semestre	quadrimestre	bn:00000561n	bn:15658281n	suddivisione anno, sei mesi ,scolastico	suddivisione anno, quattro mesi,scolastico
arancia	agrume	bn:17389700n	bn:00019301n	arancio ,albero,Rutaceae	Citrus,frutto,pianta
ghiacciaio	riscaldamento globale	bn:00040579n	bn:00040681n	ghiaccio,regioni montane,neve	clima,atmosfera,mutamento
galleria	percorso	bn:00078606n	bn:00067975n	tunnel,Passaggio,cunicolo	strada,via,Striscia di terreno